Sample ID,Site Name,Forest_Oilpalm,Horizon
LA02,Logged,Forest, 0-2
LA0210,Logged,Forest, 2-10
LA1020,Logged,Forest, 10-20
LB02,Logged,Forest, 0-2
LB0210,Logged,Forest, 2-10
LB1020,Logged,Forest, 10-20
LC02,Logged,Forest, 0-2
LC1020,Logged,Forest, 10-20
OPA02,Oil Palm,Oil palm, 0-2
OPA0210,Oil Palm,Oil palm, 2-10
OPB02,Oil Palm,Oil palm, 0-2
OPB0210,Oil Palm,Oil palm, 2-10
OPB1020,Oil Palm,Oil palm, 10-20
OPC0210,Oil Palm,Oil palm, 2-10
OPC1020,Oil Palm,Oil palm, 10-20
PA02,Primary ,Forest, 0-2
PA0210,Primary ,Forest, 2-10
PA1020,Primary ,Forest, 10-20
PB02,Primary ,Forest, 0-2
PB0210,Primary ,Forest, 2-10
PB1020,Primary ,Forest, 10-20
PC0210,Primary ,Forest, 2-10
PC1020,Primary ,Forest, 10-20
