#OTU ID,Phylum,LA02,LA0210,LA1020,LB02,LB0210,LB1020,LC02,LC1020,OPA02,OPA0210,OPB02,OPB0210,OPB1020,OPC0210,OPC1020,PA02,PA0210 ,PA1020,PB02,PB0210,PB1020,PC02,PC0210,PC1020
OTU_1658,Caldithrix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_15907,Parvarchaeota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_7344,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0
OTU_14108,Parvarchaeota,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_1661,Parvarchaeota,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
OTU_13697,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU_2237,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_7655,Parvarchaeota,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_18873,Parvarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1,Parvarchaeota,15,26,3,56,28,2,355,13,175,405,136,395,318,211,101,48,124,114,14,43,99,6,359,253
OTU_90,Parvarchaeota,119,80,99,78,154,83,3,44,12,0,8,5,9,3,0,31,45,48,22,41,51,89,29,27
OTU_13825,Parvarchaeota,7,5,0,30,22,0,28,3,2,19,7,16,17,13,5,11,47,87,4,34,62,3,72,142
OTU_877,Parvarchaeota,5,5,1,3,5,1,8,3,16,92,34,98,90,21,17,0,27,24,3,8,33,5,25,42
OTU_29847,Thermi,70,11,64,36,26,35,0,16,0,0,1,0,0,0,0,14,33,37,9,20,10,62,5,4
OTU_148,Acidobacteria,38,29,10,18,47,34,2,19,5,1,2,2,5,0,0,7,21,17,6,17,34,32,15,32
OTU_216,Acidobacteria,1,6,2,5,4,2,0,1,0,0,0,0,0,0,0,9,55,89,2,31,43,2,23,52
OTU_29484,Acidobacteria,26,7,25,9,14,38,0,10,12,0,2,3,2,2,0,7,14,17,7,7,10,21,18,17
OTU_26534,Acidobacteria,14,2,3,30,5,5,0,6,0,0,0,0,0,0,0,6,35,21,4,8,7,9,13,18
OTU_9194,Acidobacteria,1,5,0,0,0,0,15,0,2,7,1,9,14,6,2,0,2,5,0,0,1,1,11,58
OTU_302,Acidobacteria,0,0,6,3,6,5,3,19,0,11,6,2,10,5,9,11,0,2,10,3,0,2,7,0
OTU_5545,Acidobacteria,0,0,0,0,0,0,2,2,2,36,1,19,19,7,8,0,0,0,0,1,2,0,5,4
OTU_24856,Acidobacteria,0,1,0,2,1,1,10,0,7,8,2,9,5,4,3,0,4,6,0,2,5,0,12,14
OTU_517,Acidobacteria,0,0,2,0,0,0,2,1,0,49,1,4,7,1,13,0,0,0,0,0,0,0,0,1
OTU_10,Acidobacteria,0,1,0,0,0,0,4,0,2,33,1,5,16,1,5,0,1,1,0,0,0,0,6,0
OTU_3918,Acidobacteria,0,1,0,0,1,0,1,0,2,19,4,17,12,8,4,0,0,0,0,1,0,2,3,0
OTU_30576,Acidobacteria,1,2,0,1,0,0,13,1,1,3,2,11,5,0,1,0,1,6,0,3,0,0,12,11
OTU_4144,Acidobacteria,0,0,0,0,4,0,1,0,3,13,0,8,8,3,2,0,1,4,0,3,11,0,3,3
