Phylum,LA02,LA0210,LA1020,LB02,LB0210,LB1020,LC02,LC1020,OPA02,OPA0210,OPB02,OPB0210,OPB1020,OPC0210,OPC1020,PA02,PA0210 ,PA1020,PB02,PB0210,PB1020,PC0210,PC1020
[Caldithrix],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Parvarchaeota],0,0,0,0,0,1,1,0,0,2,0,5,1,0,7,0,0,0,0,0,0,0,0
[Thermi],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria,2847,3327,2569,2953,3125,2542,1459,2125,2135,1352,1916,1583,1560,2002,1095,1798,2986,3677,2035,3161,3643,2733,3032
Actinobacteria,488,380,340,327,450,554,524,399,743,372,641,616,384,560,501,437,405,310,434,577,398,396,558
AD3,13,15,2,6,15,4,16,3,79,9,68,38,26,59,18,2,37,32,6,33,91,23,68
Armatimonadetes,9,1,3,1,3,12,7,13,12,13,12,13,12,9,16,23,1,2,21,11,3,18,14
Bacteroidetes,27,28,61,63,29,58,107,233,29,440,140,126,201,137,382,382,52,49,521,69,19,105,44
BHI80-139,0,1,0,0,0,0,0,1,0,1,2,5,3,1,1,1,0,0,0,2,0,0,0
BRC1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
Chlamydiae,4,2,1,4,4,0,10,3,19,8,21,19,9,27,16,6,3,0,3,5,2,1,2
Chlorobi,0,0,0,0,0,0,3,5,5,10,6,12,4,12,9,0,1,1,5,0,0,0,0
Chloroflexi,90,150,23,72,136,30,245,40,548,107,259,210,133,344,125,35,109,132,26,81,98,95,199
Crenarchaeota,13,0,3,0,2,2,27,1,38,3,10,20,12,16,5,0,6,9,9,9,12,3,7
Cyanobacteria,8,5,13,40,9,10,11,13,12,71,18,26,77,21,46,13,16,11,9,3,4,6,5
Elusimicrobia,7,13,13,4,13,12,12,21,23,50,26,48,45,30,51,6,8,10,10,13,11,8,4
Euryarchaeota,4,0,1,5,1,0,17,0,12,6,8,5,0,12,0,1,0,1,2,2,0,0,0
FBP,0,0,0,0,0,0,1,0,0,5,1,0,0,0,6,0,0,0,0,0,0,0,0
FCPU426,4,2,5,0,0,2,2,2,5,12,12,11,14,17,6,4,2,1,8,3,4,6,1
Fibrobacteres,0,0,0,0,0,0,1,0,0,1,2,0,0,0,7,1,0,0,0,0,2,0,0
Firmicutes,5,3,2,6,6,4,327,6,66,113,536,335,1039,448,53,9,5,10,20,6,15,105,8
GAL15,1,2,4,1,1,2,6,1,33,1,7,4,2,8,0,1,0,1,1,1,4,7,1
Gemmatimonadetes,28,51,32,24,27,15,354,20,39,85,71,75,52,58,109,25,15,10,35,13,18,25,10
GN02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GN04,0,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC10,0,0,0,0,0,0,4,0,3,1,2,1,1,4,2,0,0,0,0,0,0,0,0
Nitrospirae,3,2,0,1,6,1,191,1,68,60,47,65,44,76,64,1,1,7,1,3,10,14,9
NKB19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
OD1,0,0,0,0,0,0,1,0,1,6,12,6,6,5,18,0,1,1,5,0,0,0,0
OP11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
OP3,0,0,0,0,0,1,1,0,0,1,4,3,4,4,11,0,0,0,0,0,0,0,0
Planctomycetes,222,264,171,180,263,158,194,137,132,337,137,248,195,133,278,97,134,70,100,76,107,143,92
Proteobacteria,2547,2414,2979,2699,2331,2910,2463,3261,2400,2666,2354,2354,2251,2253,3448,3637,2573,2044,3320,2444,2041,2386,2099
SBR1093,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Spirochaetes,0,0,0,0,0,3,1,0,9,4,11,5,3,9,14,2,0,0,1,8,11,1,0
Tenericutes,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,2,0,1,0,0
TM6,0,2,1,2,1,0,8,1,4,13,10,9,7,2,5,4,2,6,1,2,0,1,2
TM7,0,0,0,0,0,0,1,0,0,5,0,2,1,0,13,1,0,1,1,1,0,0,0
Verrucomicrobia,574,294,691,534,529,607,799,671,518,1169,618,1044,826,691,566,465,615,585,373,433,474,882,814
WPS-2,90,30,83,70,38,70,7,39,36,17,21,14,40,17,7,42,18,24,43,34,24,34,29
WS3,0,0,0,0,0,1,140,0,6,37,12,60,24,18,93,1,1,0,0,2,0,0,0
ZB3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
